id,item1,item2,item3,item4,item5,item6,item7,item8,item9
1,1,0,0,0,0,0,0,0,0
2,1,1,0,1,1,1,1,0,0
3,1,0,0,0,0,0,0,0,0
4,1,0,0,0,0,1,1,0,0
5,1,0,0,0,1,0,0,0,1
6,0,1,0,0,0,1,0,0,0
7,1,1,0,0,0,0,0,0,1
8,1,0,1,0,0,0,0,0,0
9,1,0,0,0,0,0,0,1,0
10,0,0,0,0,0,1,0,0,0
11,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,1,0,0,1
13,1,1,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0
15,1,1,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,1
17,1,0,0,0,1,1,0,0,1
18,1,1,0,0,1,0,1,0,0
19,0,1,0,0,0,1,0,0,0
20,0,0,0,0,0,0,0,0,0
21,1,0,0,1,0,1,1,0,0
22,0,1,0,0,0,0,0,0,0
23,1,1,0,0,0,0,0,0,1
24,0,1,0,0,0,1,1,0,1
25,0,0,0,0,0,0,0,0,0
26,1,1,0,1,1,1,1,1,0
27,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0
31,1,1,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,1,0,0,0,1,0,0,1,1
34,1,0,0,0,1,1,1,1,0
35,1,0,0,0,0,1,0,1,0
36,1,0,0,0,0,0,0,0,1
37,1,0,0,0,0,0,0,0,0
38,0,0,0,0,0,1,0,0,0
39,0,1,0,0,0,1,0,0,0
40,1,0,0,1,0,0,0,1,0
41,1,0,0,0,0,1,0,0,0
42,1,1,0,0,0,1,0,0,0
43,1,1,0,0,1,1,0,1,0
44,0,0,0,0,0,0,0,0,0
45,1,1,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,1,0
47,1,0,0,0,1,1,0,0,0
48,0,0,0,0,0,0,0,1,0
49,1,0,0,0,0,0,0,0,0
50,0,0,1,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0
52,1,0,0,0,1,0,0,0,0
53,1,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,1
55,1,0,1,0,0,0,0,1,0
56,1,1,0,0,1,0,1,0,0
57,0,0,0,1,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0
59,0,1,0,0,0,1,0,0,0
60,1,0,0,1,0,0,1,1,0
61,1,0,0,0,0,0,0,1,0
62,1,0,1,0,1,0,1,1,1
63,1,1,0,0,0,0,0,1,0
64,1,0,0,0,0,0,0,0,1
65,1,0,0,0,0,0,0,0,0
66,1,0,0,0,0,1,0,0,0
67,0,0,1,0,0,0,0,0,0
68,1,0,0,0,0,0,0,0,0
69,0,0,0,1,0,0,0,0,1
70,1,0,1,1,0,0,0,1,0
71,1,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0,0
74,1,0,0,0,1,1,0,1,0
75,1,0,0,0,0,1,0,0,0
76,0,0,0,0,0,0,0,0,0
77,1,1,0,0,0,0,0,0,0
78,1,0,0,1,0,0,0,0,0
79,1,0,0,0,0,0,0,0,0
80,1,1,1,0,1,0,0,1,0
81,1,1,0,0,0,1,0,0,0
82,0,1,0,0,0,1,0,0,0
83,1,0,0,0,0,0,0,1,0
84,1,1,0,0,0,0,1,0,1
85,0,0,0,0,0,0,0,0,0
86,1,0,0,0,0,1,0,1,0
87,1,0,0,0,0,0,0,0,0
88,1,0,0,1,1,0,0,0,0
89,1,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,1
91,1,0,0,0,0,1,0,0,1
92,1,0,0,1,1,1,1,1,0
93,1,0,0,0,0,0,1,0,0
94,0,1,0,0,0,0,0,0,1
95,1,1,0,0,1,0,0,0,0
96,1,1,0,0,1,1,0,0,0
97,1,0,0,0,0,0,0,0,0
98,1,0,0,0,0,1,0,0,1
99,1,0,0,1,0,0,0,0,0
100,1,1,0,0,1,0,0,0,1
101,1,1,0,0,0,1,1,0,1
102,1,1,0,1,0,1,0,0,1
103,1,1,0,0,0,0,0,0,0
104,0,0,0,0,0,0,1,1,0
105,1,1,0,0,0,0,0,1,0
106,1,0,0,0,0,0,0,0,0
107,1,0,0,0,1,0,0,0,1
108,1,0,0,0,0,0,1,0,0
109,0,0,0,0,0,1,0,0,0
110,1,0,0,0,1,0,0,0,0
111,1,0,0,0,0,0,0,0,1
112,1,0,0,0,0,1,0,0,1
113,1,0,0,0,0,0,0,1,0
114,1,1,0,0,0,0,0,0,0
115,1,0,0,0,1,0,0,1,0
116,0,0,0,0,1,0,0,0,0
117,1,1,1,0,1,1,1,1,1
118,1,1,0,0,1,0,0,0,0
119,1,1,0,0,0,1,0,1,1
120,0,1,0,0,0,0,0,0,0
121,0,1,0,0,0,0,0,0,0
122,0,0,0,1,0,0,0,0,1
123,1,1,1,0,1,0,1,1,0
124,0,0,0,0,0,1,0,0,0
125,0,0,1,0,0,0,0,0,1
126,1,0,0,0,0,0,0,0,0
127,1,0,0,0,0,0,0,0,1
128,1,0,0,0,0,1,0,0,1
129,1,0,0,0,1,0,0,0,0
130,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,1
132,1,1,0,0,1,1,0,0,0
133,1,0,0,0,1,0,0,0,0
134,1,1,0,0,1,1,0,0,1
135,1,0,0,1,0,0,0,0,0
136,1,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,1
138,1,0,0,0,0,0,0,0,0
139,0,1,0,0,0,0,0,0,0
140,1,1,0,0,1,0,1,1,0
141,1,1,0,0,1,0,0,0,1
142,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0
144,1,0,0,0,0,1,0,1,0
145,0,0,0,0,0,1,0,0,1
146,1,1,0,0,0,0,0,0,1
147,1,1,0,0,0,1,0,1,1
148,0,0,0,0,0,0,0,0,0
149,1,1,0,0,1,0,0,1,0
150,0,1,0,0,0,1,1,0,1
151,1,1,0,0,0,0,0,0,0
152,1,0,0,0,0,1,0,0,1
153,1,0,0,0,0,1,0,0,1
154,1,1,0,0,1,0,1,0,1
155,0,0,0,0,0,0,0,1,0
156,1,0,0,0,0,1,0,0,0
157,1,0,0,0,0,0,0,0,1
158,1,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0
160,1,1,0,0,1,0,1,0,0
161,0,0,0,0,0,1,0,0,0
162,1,0,0,0,0,1,1,0,0
163,1,0,0,0,1,0,0,0,1
164,1,0,0,0,1,1,0,0,1
165,0,1,0,0,0,0,0,0,1
166,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,1
168,1,1,1,1,1,0,1,0,0
169,0,1,0,0,0,0,0,0,0
170,1,0,0,0,0,1,0,0,0
171,1,0,0,0,0,1,0,0,1
172,1,0,0,0,0,0,0,0,0
173,1,0,1,0,0,0,1,0,0
174,1,1,0,0,1,1,0,0,0
175,1,1,0,0,0,0,0,0,0
176,1,0,0,1,0,1,0,0,1
177,1,0,0,0,1,1,0,0,1
178,1,0,0,1,0,0,0,0,0
179,1,0,0,0,0,1,0,0,0
180,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0
182,1,0,0,0,0,0,1,0,0
183,1,1,1,0,0,0,0,0,0
184,1,1,0,0,0,0,0,0,0
185,1,1,0,0,0,0,0,0,0
186,0,0,0,1,0,0,0,0,0
187,0,0,0,0,0,0,0,1,1
188,0,0,0,1,0,1,0,0,0
189,1,0,0,1,0,0,0,0,0
190,1,1,0,0,0,1,0,0,0
191,0,0,0,0,0,0,0,0,1
192,1,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0
194,1,1,0,1,0,1,1,0,0
195,0,0,0,0,0,0,0,0,1
196,1,0,0,0,0,0,0,1,0
197,0,0,0,0,0,0,0,0,1
198,1,0,0,0,0,1,0,0,1
199,0,0,1,0,0,0,1,0,0
200,0,0,0,0,0,0,0,0,0
201,1,0,0,0,1,0,0,0,0
202,0,0,0,0,0,1,1,0,0
203,0,0,0,0,0,0,0,0,0
204,1,0,0,0,0,0,0,1,0
205,1,0,1,0,1,0,1,0,0
206,0,0,0,0,0,0,0,0,0
207,0,1,0,0,0,0,0,0,0
208,1,0,0,0,0,0,0,0,0
209,1,0,0,0,0,0,0,0,1
210,1,0,0,0,1,0,0,0,1
211,1,0,0,0,1,0,1,0,0
212,1,0,0,0,1,0,0,0,0
213,1,1,0,1,1,1,0,0,0
214,1,1,0,0,1,1,0,1,1
215,1,0,0,0,0,0,0,0,0
216,1,0,0,0,1,1,1,1,1
217,1,1,0,0,1,1,0,0,0
218,1,0,0,0,0,0,1,0,1
219,0,0,0,0,0,0,0,0,1
220,1,0,0,0,0,0,0,0,1
221,1,1,0,0,0,0,0,0,0
222,1,1,0,0,0,0,0,1,0
223,1,1,0,0,0,0,0,0,0
224,1,0,0,0,1,0,0,1,1
225,0,0,0,0,0,0,0,0,0
226,1,0,0,1,0,0,1,0,1
227,0,0,0,0,0,1,0,0,0
228,1,1,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0
230,1,1,0,0,0,0,1,0,0
231,0,0,0,1,0,1,0,1,0
232,1,0,1,1,1,0,0,0,0
233,1,1,0,0,1,0,0,0,0
234,1,0,0,1,0,0,0,1,0
235,0,0,0,0,0,0,0,1,0
236,1,0,0,0,0,0,0,1,1
237,1,0,0,0,0,1,0,1,0
238,1,1,0,0,0,1,0,0,0
239,1,0,0,0,0,0,1,1,0
240,0,0,0,0,0,1,0,0,0
241,1,0,0,0,0,1,0,0,1
242,1,1,0,0,1,0,0,0,0
243,1,1,0,0,0,1,0,0,0
244,1,0,0,0,0,0,1,0,1
245,1,0,0,0,0,0,0,0,0
246,0,0,0,0,0,1,0,0,1
247,1,0,0,0,0,0,0,0,1
248,1,0,0,0,0,0,0,0,0
249,1,0,0,0,1,1,1,1,0
250,0,0,0,0,0,1,0,0,0
251,1,1,0,0,0,0,0,0,0
252,1,0,0,0,0,0,1,1,0
253,1,0,0,0,0,0,0,0,0
254,1,0,0,0,0,0,1,0,0
255,0,0,0,0,0,0,0,0,1
256,1,1,0,0,1,1,1,0,1
257,0,0,0,0,0,0,0,0,0
258,1,0,0,0,1,0,0,0,0
259,0,0,0,0,0,0,1,0,0
260,1,1,0,0,0,0,0,1,1
